დასახელება,მოცულობა,ფასი,სურათი
შოტლანდიური ვისკი Johnnie Walker Red Label,0.05L,"8,00","https://alcorium-store.ge/images/thumbnails/270/240/detailed/3/Johnnie_Walker_Red_Label_0,05_L.png"
შოტლანდიური ვისკი Ballantine's Finest,0.05L,"8,00","https://alcorium-store.ge/images/thumbnails/270/240/detailed/3/Ballantine's_Finest_0,05_L.png"
ბურბონი John Jameson,0.05L,"9,00","https://alcorium-store.ge/images/thumbnails/270/240/detailed/3/John_Jameson_0,05_L.png"
ირლანდიური ვისკი Tullamore Dew,0.05L,"9,00","https://alcorium-store.ge/images/thumbnails/270/240/detailed/3/Tullamore_Dew_0,05_L.png"
ბურბონი Jack Daniel's,0.05L,"10,00","https://alcorium-store.ge/images/thumbnails/270/240/detailed/3/Jack_Daniel's_0,05_L.png"
შოტლანდიური ვისკი Barclays Scotc,0.2L,"11,50","https://alcorium-store.ge/images/thumbnails/270/240/detailed/3/Barclays_Scotch_0,2_L.png"
ერთალაოიანი შოტლანდიური ვისკი Monkey Shoulder,0.05L,"15,00","https://alcorium-store.ge/images/thumbnails/270/240/detailed/3/Monkey_Shoulder_0,05_L.png"
"შოტლანდიური ვისკი Chivas Regal, 12 წლიანი",0.05L,"16,00","https://alcorium-store.ge/images/thumbnails/270/240/detailed/3/Chivas_Regal_0,05_L_12_Years_Old.png"
"ერთალაოიანი შოტლანდიური ვისკი Glenfiddich, 12 წლიანი",0.05L,"16,00","https://alcorium-store.ge/images/thumbnails/270/240/detailed/3/Glenfiddich_0,05_L_12_Years_Old.png"
შოტლანდიური ვისკი Johnnie Walker Black Label,0.05L,"16,00","https://alcorium-store.ge/images/thumbnails/270/240/detailed/3/Johnnie_Walker_Black_Label_0,05.png"
შოტლანდიური ვისკი Grant',0.2L,"18,30","https://alcorium-store.ge/images/thumbnails/270/240/detailed/3/Grant's_0,2_L.png"
შოტლანდიური ვისკი J & B Rar,0.2L,"18,50",https://alcorium-store.ge/images/thumbnails/270/240/detailed/2/J___B_Rare_0.2L.png
შოტლანდიური ვისკი Johnnie Walker Red Label Pocke,0.2L,"19,90",https://alcorium-store.ge/images/thumbnails/270/240/detailed/2/Johnnie_Walker_Red_Label_Pocket_0.2L.png
შოტლანდიური ვისკი Ballantine's Fines,0.2L,"19,90","https://alcorium-store.ge/images/thumbnails/270/240/detailed/3/Ballantine's_Finest_0,2.png"
"ერთალაოიანი შოტლანდიური ვისკი Glenfiddich, 15 წლიანი",0.05L,"20,00","https://alcorium-store.ge/images/thumbnails/270/240/detailed/3/Glenfiddich_0,05_L_15_Years_Old.png"
ერთალაოიანი შოტლანდიური ვისკი Glenmorangie Original,0.05L,"22,00","https://alcorium-store.ge/images/thumbnails/270/240/detailed/3/Glenmorangie_Original_0,05_L.png"
"ერთალაოიანი შოტლანდიური ვისკი Balvenie Doublewood, 12 წლიანი",0.05L,"22,00","https://alcorium-store.ge/images/thumbnails/270/240/detailed/3/Balvenie_Doublewood_0,05_L_12_Years_Old.png"
შოტლანდიური ვისკი Barclays Scotc,0.5L,"24,90",https://alcorium-store.ge/images/thumbnails/270/240/detailed/2/Barclays_Scotch_0.5L.png
შოტლანდიური ვისკი Clan Macgrego,0.5L,"24,90",https://alcorium-store.ge/images/thumbnails/270/240/detailed/2/clan-macgregor.jpg
